gen.metadata.title;gen.metadata.year;gen.objectives.main_objective;gen.objectives.specific_objectives;gen.recommendations.for_future_research;gen.recommendations.for_practice;gen.research_problem.problem_statement;gen.research_problem.research_questions;esp.domain_methodology.measurement_conditions;esp.domain_methodology.performance_metrics;esp.domain_methodology.simulation_method;esp.domain_methodology.simulation_software;esp.domain_results.axial_ratio_bandwidth;esp.domain_results.bandwidth;esp.domain_results.comparison_with_other_designs;esp.domain_results.cross_polarization_level;esp.domain_results.gain;esp.domain_results.radiation_pattern;esp.domain_results.return_loss;esp.domain_results.return_loss_bandwidth;esp.domain_results.vswr_bandwidth;esp.technical_specifications.antenna_dimensions;esp.technical_specifications.antenna_size;esp.technical_specifications.antenna_type;esp.technical_specifications.antenna_weight;esp.technical_specifications.fabrication_material;esp.technical_specifications.feeding_element_design;esp.technical_specifications.feeding_element_dimensions;esp.technical_specifications.frequency_band;esp.technical_specifications.polarization;esp.technical_specifications.substrate_loss_tangent;esp.technical_specifications.substrate_material;esp.technical_specifications.substrate_permittivity;esp.technical_specifications.substrate_thickness;esp.technical_specifications.superstrate_design;esp.technical_specifications.superstrate_element_sizes;esp.technical_specifications.superstrate_element_spacing
Compact and High Gain 4 × 4 Circularly Polarized Microstrip Patch Antenna Array for Next Generation Small Satellite;2021;To design, simulate, and fabricate a compact wideband CP microstrip antenna array for next-generation small satellite applications in the Ku-band (p. 7);"Achieve a gain of 12 dBic with minimal AR less than 1.5 dB in the angular width of ±10° (p. 9); Achieve a left-handed circularly polarized gain of more than 12 dBic with an axial ratio level below 1.5 dB in the ±10° angular space for the whole bandwidth from 8.05 GHz to 8.25 GHz (p. 1); Not mentioned; Extend the 2 × 2 array to a 4 × 4 array using a multistage SR feeding network (p. 9); Ensure the array meets the application requirements of next-generation small satellites (p. 1)";"Investigation of the array's performance in different environmental conditions (p. 1); Not mentioned; Development of multi-band CP microstrip antenna arrays (p. 10); Investigation of the design for other frequency bands (p. 10)";"Not mentioned; Further testing and validation in real-world satellite applications (p. 10); Further testing and optimization for different satellite applications (p. 1); Optimization of the feeding network for higher efficiency (p. 10)";Limited availability of compact, high-gain, and wideband CP microstrip antenna arrays for next-generation small satellite applications (p. 7);"How can a high gain and compact 4 × 4 circularly polarized microstrip patch antenna array be designed for small satellites? (p. 1); What are the performance metrics of the proposed antenna array in terms of gain, bandwidth, and axial ratio? (p. 1); How can a compact wideband CP microstrip antenna array be designed for small satellite applications? (p. 7); Not mentioned; What are the performance metrics of the proposed antenna array compared to existing designs? (p. 7)";Anechoic chamber (p. 3);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern', 'Axial Ratio'] (p. 1);CST Microwave Studio (p. 3);CST Microwave Studio (p. 3);3 dB ARBW from 8.05 GHz to 8.25 GHz (p. 1);10 dB IBW covers the X-band (p. 3);Outperforms other designs in terms of gain, AR, and compactness (p. 9);Below −15 dBic in the broadside direction (p. 9);15 to 15.5 dBic (p. 1);Stable in both φ = 0° and φ = 90° planes (p. 9);Not mentioned;Not mentioned;Not mentioned;3.48λg × 3.48λg (p. 9);Not mentioned;4 × 4 circularly polarized microstrip patch antenna array (p. 1);Not mentioned;Rogers RT6006 (ϵr = 6.15, tand = 0.0027, thickness = 1.27 mm) (p. 3);Sequential rotational phase feed with open stub (p. 2);Not mentioned;Ku-band (7.8 to 8.52 GHz) (p. 9);Left-handed circularly polarized (LHCP) (p. 1);0.0027 (p. 3);Rogers RT6006 (p. 3);6.15 (p. 3);1.27 mm (p. 3);Not mentioned;Not mentioned;Not mentioned
Multiband circularly polarised CubeSat antenna operating in S, C, X, Ku, K, and Ka bands;2024;To design a high-frequency multiband circularly polarized antenna for CubeSat applications that can cover L, S, C, X, Ku, K, and Ka bands (p. 1);"Evaluate the antenna's performance across multiple frequency bands (p. 5); Not mentioned; Maintain a compact size and weight to meet CubeSat standards (p. 1); Ensure the antenna fits within the standard 10 × 10 cm² size of a CubeSat (p. 1); Achieve wide and multiband operation with circular polarization (p. 1); Optimize the antenna design for circular polarization (p. 5)";"Explore the integration of additional features to enhance performance (p. 1); Not mentioned; Investigate the impact of environmental factors on antenna performance (p. 1); Investigate the impact of environmental factors on antenna performance (p. 11); Explore the integration of the antenna with other CubeSat systems (p. 11)";"Conduct further testing and validation in real-world CubeSat missions (p. 1); Not mentioned; Integrate the proposed antenna design into CubeSat telecommunication subsystems (p. 1); Further optimize the design for specific CubeSat missions (p. 11); Test the antenna in space-like environments (p. 11)";Designing a high-frequency multiband circularly polarized antenna for CubeSat applications that can cover a wide range of frequency bands while maintaining compact size and weight (p. 1);"How can a multiband circularly polarized antenna be designed to fit within the limited space of a CubeSat? (p. 1); What are the performance metrics of the proposed antenna in terms of gain, bandwidth, and axial ratio? (p. 1); How does the hybrid design perform across multiple frequency bands? (p. 5); Not mentioned; What are the key design parameters for achieving circular polarization? (p. 5)";In-house made anechoic chamber (p. 8);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern', 'Axial Ratio'] (p. 8);CST simulation software (p. 8);Altair FEKO (p. 2);3 dB AR (p. 9);1.5–2.9 GHz for the patch antenna, 4–31 GHz for the spiral antenna (p. 8);The proposed antenna achieves good performance across multiple frequency bands and circular polarization, but may not achieve the same performance as larger, non-planar designs (p. 10);Not mentioned;7.09 dBi at 2 GHz, 7.38 dBi at 2.3 GHz, 7.89 dBi at 7.5 GHz, 8.1 dBi at 10 GHz, 8.41 dBi at 20 GHz, 9.1 dBi at 25 GHz, 9.81 dBi at 29 GHz (p. 13);Unidirectional with circular polarization (p. 10);−10 dB impedance (p. 8);Not mentioned;Not mentioned;Ls = 100 mm, Ws = 100 mm, hs = 1.6 mm (p. 5);10 × 10 cm² (p. 1);Hybrid internal spiral/patch antenna (p. 5);Not mentioned;Rogers RT5870 (εr = 2.33, h = 1.52 mm) (p. 3);Four-patch antenna with 90° phase differences between ports (p. 6);Not mentioned;L-band (1.55–1.94 GHz), S-band (2, 2.1, 2.3 GHz), C-band (4–8 GHz), X-band (8–12 GHz), Ku-band (12–18 GHz), K-band (18–26 GHz), Ka-band (26–29 GHz) (p. 8);Right-handed circularly polarized (RHCP) (p. 12);Not mentioned;Rogers RT5870 (p. 3);2.33 (p. 3);1.52 mm (p. 3);Not mentioned;Not mentioned;Not mentioned
A Microstrip Antenna Based on a Standing-Wave Fractal Geometry for CubeSat Applications;2016;To design a frequency reconfigurable E-shaped patch antenna using PIN diodes for operation in multiple frequency bands suitable for WMTS and MICS (p. 2214);"Reconfigure the antenna to operate in a narrow band centered at 0.5 GHz (p. 2214); Achieve dual-band operation at 0.4 and 1.4 GHz (p. 2214); Achieve triple-band operation at 0.4, 1.4, and 2 GHz (p. 2214); Achieve circular polarization and directional radiation (p. 2210); Maintain small dimensions and low weight (p. 2210)";"Investigate further miniaturization techniques (p. 2213); Investigate the performance of the antenna in real-world medical applications (p. 2214)";"Use the proposed antenna for CubeSat applications (p. 2213); Use the proposed antenna in WMTS and MICS devices (p. 2214)";The need for compact, reconfigurable antennas for Wireless Medical Telemetry Systems (WMTS) and Medical Implant Communication Services (MICS) that can operate in multiple frequency bands (p. 2214);"How can a reconfigurable E-shaped patch antenna be designed to operate in multiple frequency bands for WMTS and MICS? (p. 2214); How can a planar antenna with circular polarization and reduced dimensions be designed for CubeSat applications? (p. 2210)";Not mentioned;['Gain', 'Bandwidth', 'Return Loss', 'Axial Ratio', 'Radiation Pattern'] (p. 2212);Not mentioned;Not mentioned;2.22 GHz to 2.53 GHz (p. 2213);"335–565 MHz, 1.29–1.42 GHz, and 2.03–2.28 GHz in multiband; 300–645 MHz in single band (p. 2214)";Not mentioned;Not mentioned;5.7 dBi (p. 2212);Directional radiation with maximum radiation over the top face (H-plane) (p. 2212);Not mentioned;Not mentioned;Not mentioned;72 × 72 mm² (p. 2212);Not mentioned;Microstrip standing-wave fractal antenna (p. 2210);33.7 g including the SMA-type connector (p. 2213);FR4 epoxy dielectric substrate (εr = 4.4, tan δ = 0.003, h = 1.6 mm) (p. 2214);Coaxial feeding (p. 2211);Not mentioned;"335–565 MHz, 1.29–1.42 GHz, and 2.03–2.28 GHz in multiband; 300–645 MHz in single band (p. 2214)";Circular polarization (p. 2210);0.019 (p. 2211);FR4 epoxy (p. 2214);4.08 (p. 2211);3.16 mm (p. 2211);Not mentioned;Not mentioned;Not mentioned
Semi-analytical design of dual-mode resonant microstrip antennas with electrically small patch size and tilted CP angle for satellite-assisted IoV;2025;To develop a semi-analytical design approach for dual-mode resonant microstrip antennas with electrically small patch size and tilted CP angle for satellite-assisted IoV (p. 1);"Determine the upper bound of patch radius for electrically small antennas (p. 3); Deduce mathematical formulas to predict the flare angle and outer/inner radius ratio for approaching an electrically small radius (p. 1); Not mentioned; Design and validate dual-mode resonant microstrip antennas with different flare angles and substrates (p. 1); Design and validate dual-mode resonant MASPAs with variable CP angles (p. 3)";"Investigation of the antenna's performance in different vehicular communication scenarios (p. 2); Not mentioned; Explore the application of the design approach to other frequency bands and substrates (p. 9)";"Not mentioned; Further experimental validation of the antenna design in real-world IoV scenarios (p. 2); Use the semi-analytical design approach to design microstrip antennas for satellite applications (p. 9)";Limited understanding of how to design microstrip antennas with electrically small patch size and frequency scannable tilted CP angle for satellite-assisted IoV (p. 1);"Not mentioned; What are the performance metrics and practical applications of such antennas? (p. 1); How can a semi-analytical design approach be developed for dual-mode resonant microstrip antennas with electrically small patch size and tilted CP angle? (p. 1); How can electrically small, dual-mode resonant, wideband CP microstrip antennas be designed for IoV applications? (p. 2); What are the key parameters and methods for achieving variable CP angles in these antennas? (p. 2)";Satimo’s Starlab near-field antenna measurement system (p. 6);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern', 'AR'] (p. 6);MATLAB for eigen-root calculations, numerical simulation software (p. 3-4);Altair FEKO (p. 2);26.6% (p. 9);26.6% (p. 8);Compared to other reported tilted CP antennas, the proposed antennas exhibit a distinctive operation principle, wider tilted CP bandwidth, and larger tilted CP angle range with frequency scanning functionality (p. 9);Not mentioned;5.16 dBic (p. 9);Tilted CP frequency scanning characteristic within the whole impedance bandwidth (p. 9);Not mentioned;Not mentioned;Not mentioned;Not mentioned;0.159° λ_g (p. 8);Microstrip annular sector patch antenna (MASPA) (p. 2);Not mentioned;F4B substrate (ε_r1 = 2.65) with h_1 = 2 mm suspending on an air substrate (ε_r = 1) with h_2 = 3 mm (p. 7);Slot perturbation for dual-mode resonance (p. 4);Ls = 9.2 mm, Ws = 3.7 mm (p. 4);2.31–3.02 GHz (p. 8);Left-handed circularly polarized (LHCP) (p. 6);Not mentioned;Air (p. 4);2.65 (p. 7);5.0 mm (p. 4);Not mentioned;Not mentioned;Not mentioned
A Multi-Band Circularly Polarized-Shared Aperture Antenna for Space Applications at S and X Bands;2023;To design and analyze a compact multiband antenna that shares the aperture of an S-band slot antenna to accommodate an X-band patch antenna for CubeSat applications (p. 1);"Achieve high gain and maintain circular polarization over a wideband (p. 1); Not mentioned; Replace two separate antennas with a single shared aperture antenna to save space (p. 1); Achieve high gain and compact size (p. 9); Ensure good isolation between S-band and X-band patches (p. 9)";"Not mentioned; Investigate the performance of the antenna in different CubeSat configurations and environments (p. 1); Investigate the performance of the antenna in real CubeSat missions (p. 9)";"Not mentioned; Use the proposed antenna for CubeSat applications to reduce size and complexity (p. 9); Integrate the shared aperture antenna design in CubeSat missions to optimize space and improve communication efficiency (p. 1)";Designing a compact dual-band shared aperture antenna for CubeSat applications to reduce the size and complexity of antenna systems (p. 9);"How can a shared aperture antenna be designed to operate in both S-band and X-band for CubeSat applications? (p. 9); How can a single antenna design accommodate both S-band and X-band operations for CubeSats? (p. 1); Not mentioned; What are the performance metrics of the proposed antenna compared to existing designs? (p. 9); What are the performance metrics of a shared aperture antenna in terms of gain, bandwidth, and circular polarization? (p. 1)";Anritsu 37369A Vector Network Analyzer (VNA) (p. 7);['Gain', 'Bandwidth', 'Return Loss', 'Axial Ratio', 'Isolation'] (p. 8);Finite element method (FEM) using Ansys HFSS 2022 (p. 5);Ansys HFSS 2022 (p. 5);S-band: 0.35%, X-band: 0.8% (p. 5, p. 6);S-band: 30 MHz (1.5%), X-band: 210 MHz (2.5%) (p. 5, p. 6);Achieved similar or better performances while keeping the antenna size compact compared to other recent works (p. 9);Not mentioned;S-band: 7.7 dBic, X-band: 12.8 dBic (p. 5, p. 6);Unidirectional (p. 5, p. 6);S-band: −30 dB (simulated), −16 dB (measured), X-band: −210 dB (simulated), −270 dB (measured) (p. 6, p. 8);Not mentioned;Not mentioned;60 × 60 × 20 mm (p. 3);Not mentioned;Shared aperture antenna with S-band and X-band patches (p. 1);Not mentioned;Rogers RT/duroid 5880 (p. 3);Two separate 50Ω coaxial probes for S-band and X-band patches (p. 3);Not mentioned;S-band (2.013–2.043 GHz) and X-band (8.320–8.530 GHz) (p. 5, p. 6);Right-handed circularly polarized (RHCP) (p. 5, p. 6);Not mentioned;Rogers RT/duroid 5880 (p. 3);Not mentioned;0.787 mm (p. 3);Dielectric layer-3 acts as a partial reflective surface (PRS) (p. 3);Not mentioned;Not mentioned
Design, Fabrication and Measurements of an X-Band Cross-Patch Antenna with Metasurface for Advanced LEO CubeSat Missions;2025;To develop a miniaturized and optimized metasurface antenna for CubeSats that meets the requirements of minimal aerodynamic drag, extended mission duration, and efficient power consumption (p. 10);"Design and optimize a planar crossed dipole antenna using HFSS FEM method and QNM package (p. 2); Ensure the antenna does not require deployment mechanisms after launch (p. 10); Improve antenna performance using metasurface to increase CubeSat lifetime and data throughput (p. 2); Evaluate the fabricated antenna prototypes through measurements and compare them to simulation results (p. 2); Evaluate the antenna's performance in terms of gain, bandwidth, and radiation pattern (p. 5); Optimize the metasurface unit cell to enhance antenna performance (p. 10); Optimize the antenna design to minimize size and power consumption while maximizing performance (p. 5); Design a cross-patch antenna with a metasurface to achieve high gain and wide bandwidth (p. 10)";"Investigate the performance of the metasurface antenna in different environmental conditions (p. 8); Explore the application of the antenna design in other frequency bands (p. 10); Investigate the performance of the antenna in different orbital conditions and with varying CubeSat configurations (p. 2); Develop multilayer Fabry-Perot antennas to achieve even higher gains (p. 10); Explore the use of advanced materials to further enhance antenna performance (p. 8)";"Conduct further testing to optimize the design for different CubeSat sizes and missions (p. 8); Integrate the proposed antenna design into 1U CubeSat missions to enhance communication and mission longevity (p. 1); Integrate the developed antenna design into CubeSat missions to enhance communication capabilities (p. 10); Integrate the metasurface antenna design into CubeSat missions to improve communication efficiency (p. 8); Optimize the metasurface unit cell for further performance improvements (p. 10)";The need for a compact, lightweight, and efficient antenna design for CubeSats to extend mission duration and improve data reception periods while maintaining low power consumption (p. 10);"What are the key performance metrics that can be achieved with the new antenna design? (p. 10); What are the performance improvements of the metasurface antenna compared to traditional designs? (p. 5); How can the antenna design be optimized to meet the geometrical, mechanical, and electrical requirements of CubeSats? (p. 5); What are the performance metrics of the proposed antenna design, and how do they compare to existing designs? (p. 2); How can a cross-patch antenna with metasurface be designed to occupy less than 8% of a 1U CubeSat's top face while maintaining high performance? (p. 2); How can the antenna design be optimized to meet the size and performance requirements of CubeSats? (p. 10)";11.9 m × 5.6 m × 6.0 m anechoic chamber (p. 10);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern'] (p. 3);HFSS FEM method and QNM package (p. 2);Altair FEKO (p. 6);Not mentioned;1.0 GHz (p. 10);The proposed antenna design outperforms other designs in terms of gain, bandwidth, and size (p. 3);Not mentioned;10.0 dBi (p. 10);Unidirectional (p. 10);-31.3 dB (p. 6);1.31 GHz (p. 7);[8.36, 8.58, 8.75, 9.49] GHz (p. 7);32.4 × 48.9 × 3 mm (p. 8);6.84% of a 1U CubeSat's top face (10 × 10 cm²) (p. 3);Cross-patch antenna with metasurface (p. 10);Not mentioned;Rogers RT 5880 (εr = 2.1, tan δ = 0.001, h = 1.5 mm) (p. 2);Planar dipole elements arranged perpendicularly (p. 10);5 × 3.5 mm² (p. 3);X-band (8–9.8 GHz) (p. 10);Linear (p. 8);0.001 (p. 2);Rogers RT 5880 (p. 2);2.1 (p. 2);1.5 mm (p. 2);Array of square unit cells (p. 3);Not mentioned;Not mentioned
High-Gain Pixel Patch Antenna Array for Miniature Wireless Communications and IoT Applications;2023;To investigate pixel antenna arrays for wireless communication and IoT systems, focusing on design, analysis, and comparison with traditional designs (p. 1);"Achieve a 75% reduction in patch design area and a 90% reduction in full design area (p. 14); Design and analyze pixel patch antennas for 5G and CubeSat applications (p. 1); Compare the performance of traditional and proposed pixel patch antennas (p. 1); Evaluate the performance of the proposed pixel antenna array in terms of gain and radiation pattern (p. 14)";"Investigation of the proposed design in real-world 5G and CubeSat applications (p. 6); Investigate the performance of the proposed design in different environments and applications (p. 14)";"Use the proposed pixel antenna design in small space devices and miniaturized systems (p. 14); Further testing and optimization of the proposed design for different frequency bands (p. 6)";The need for small, high-gain, and efficient antennas for 5G and CubeSat applications due to the rapid development of wireless technology and the downsizing of devices and satellites (p. 1);"How can the proposed pixel antenna design achieve miniaturization and high gain? (p. 14); How can pixel patch antennas be designed to meet the functional requirements for 5G and CubeSat applications? (p. 1); What are the performance improvements of the proposed pixel antenna compared to traditional designs? (p. 14); What are the performance metrics and design parameters of pixel patch antennas compared to traditional designs? (p. 1)";Network analyzer for measuring traditional patch antenna and proposed pixel patch element structures (p. 14);Gain, radiation pattern, design area reduction (p. 14);Finite element method (FEM) and commercial software (Altair FEKO) (p. 2);Altair FEKO (p. 11);Not mentioned;Not mentioned;The proposed pixel patch design area reduction is approximately 75%, and the full design area reduction is approximately 90% (p. 14);Not mentioned;Up to 32.7 dB (p. 13);Relatively wide beam (p. 14);-23 dB (p. 5);Not mentioned;Not mentioned;5 mm x 5 mm (p. 3);25% of a conventional patch (p. 1);Miniaturized pixel antenna using DS-Post (p. 14);Not mentioned;Rogers Duroid 6010 (εr = 10.2, tan δ = 0.0023, h = 0.635 mm) (p. 3);Driven-Shorting Post (DS-Post) (p. 14);Not mentioned;5.32 GHz (p. 10);Not mentioned;0.0023 (p. 3);Rogers Duroid 6010 (p. 3);10.2 (p. 3);0.635 mm (p. 3);Not mentioned;Not mentioned;Not mentioned
Dual-band optical imaging system-integrated patch antenna based on anisotropic fractal for earth-observation CubeSats;2022;To propose a concept of an S-band patch antenna operating in two bands based on an anisotropic fractal with an optimal method of location for 1U-6U Earth-observation CubeSats (p. 2);"Compare the proposed antenna with existing designs (p. 7); Measure and analyze the performance metrics (p. 7); To integrate the optical (imaging device) and antenna systems into one surface (p. 2); To solve several relevant problems, including increasing the area of solar cells, thereby increasing energy security, simplifying the production of the antenna, and operating the SSC (p. 2); Model and simulate the antenna design (p. 7)";"Investigate the performance of the antenna in different environmental conditions (p. 8); Investigate the impact of different substrate materials on antenna performance (p. 5); Explore the integration of the proposed antenna with other CubeSat subsystems (p. 5); Explore the integration of the antenna with other subsystems of CubeSats (p. 8)";"Optimize the substrate height to improve realized gain and efficiency (p. 5); Use the proposed antenna design for 1U-6U Earth-observation CubeSats (p. 2); Integrate the proposed antenna design in future CubeSat missions (p. 8)";The limited size and communication resources of CubeSat nanosatellites require advanced solutions in this area. Efficient use of the surface area of the CubeSat is also critical. Therefore, optimization of the physical dimensions of SSC components, including antenna devices, is a relevant task (p. 1);"How can the physical dimensions of CubeSat components, including antenna devices, be optimized? (p. 1); What are the characteristics of a dual-band optical imaging system-integrated patch antenna based on an anisotropic fractal for Earth-observation CubeSats? (p. 1); How can a dual-band patch antenna be integrated with an optical imaging system for CubeSats? (p. 7); What are the performance characteristics of the proposed antenna compared to existing designs? (p. 7)";Vector analyzer MS46121A, RF signal generator NI PXIe-1065, spectrum analyzer Agilent N9340B, rotating stepping system (p. 3);['Gain', 'Bandwidth', 'Return Loss', 'VSWR', 'Radiation Pattern'] (p. 3);HFSS FEM method and QNM package (p. 8);CST Microwave Studio 2018 (p. 2);Not mentioned;-10 dB impedance bandwidth: 57 MHz (2423–2480 MHz) at 2.45 GHz, 33 MHz (2026–2059 MHz) at 2.04 GHz (p. 4);Outperforms other designs in terms of compactness and gain (p. 8);Not mentioned;4 dBi at the first resonant frequency, 2.15 dBi at the second resonant frequency (p. 8);Apple-shaped pattern at 2.45 GHz, more directional characteristics at 2.04 GHz (p. 4);Much lower than -10 dB at resonant frequencies (p. 4);Not mentioned;Not mentioned;100 × 100 mm (p. 2);100 × 100 mm (p. 2);Dual-band patch antenna based on anisotropic fractal (p. 1);Not mentioned;Double-sided Glass Epoxy Sheet FR-4 (εr = 4.3) (p. 2);Not mentioned;Not mentioned;2.100–2.330 GHz and 1.980–2.055 GHz (p. 8);Not mentioned;Not mentioned;Double-sided Glass Epoxy Sheet FR-4 (p. 2);4.3 (p. 2);1.6 mm, 2.5 mm, 4.7 mm, 6.8 mm (p. 5);Not mentioned;Not mentioned;Not mentioned
Meshed Conductor and Meshed Substrate GPS L1 Band Microstrip Antenna for Cubesat Applications;2018;To design, simulate, and fabricate a transparent meshed conductor and meshed substrate circularly polarized GPS L1 band microstrip antenna for Cubesat applications (p. 1);"Meet desired specifications for S11 parameter, antenna gain, bandwidth, and transparency (p. 8); Achieve circular polarization with RHCP (p. 8); Achieve a resonance frequency of 1.575 GHz (p. 3); Achieve a percentage of transparency of at least 60% (p. 3); Achieve an antenna efficiency of at least 85% (p. 3); Achieve an antenna gain of at least 5 dBi (p. 3); Achieve a bandwidth of at least 2.9% of the resonance frequency (p. 3)";"Investigate the impact of different substrate materials and meshing techniques on antenna performance (p. 7); Investigation of other transparent substrate materials (p. 8)";"Use the designed antenna in Cubesat applications for improved performance and transparency (p. 7); Further optimization of manufacturing processes to reduce error (p. 8)";Microstrip antennas are opaque, preventing solar energy from reaching the Cubesat’s solar cells, thus a transparent microstrip antenna design is required (p. 1);"How can a transparent microstrip antenna be designed for GPS L1 band applications in Cubesats? (p. 1); How can a transparent microstrip GPS antenna be designed to meet the desired specifications? (p. 8)";Not mentioned;['Gain', 'Bandwidth', 'Return Loss', 'Axial Ratio', 'Radiation Pattern'] (p. 5);Finite element computational tool (CST) (p. 1);CST (p. 1);55 MHz (p. 5);60 MHz (3.82% of the operating frequency) (p. 8);Not mentioned;Not mentioned;6.687 dBi (p. 5);3-D radiation pattern with maximum gain in the z-direction (p. 5);-45.83 dB (p. 5);Not mentioned;Not mentioned;Patch: 66.4 mm × 66.4 mm, Ground: 95.3 mm × 95.3 mm (p. 4);Not mentioned;Transparent meshed conductor and meshed substrate circularly polarized GPS L1 band microstrip antenna (p. 1);Not mentioned;Rogers RT/duroid 5880 (εr = 2.2, tan δ = 0.0004, h = 3.175 mm) (p. 3);Coaxial probe feeding point at distance P = 22.77 mm from the left side of the patch (p. 4);Not mentioned;L1 band (1.575 GHz) (p. 1);Right-handed circularly polarized (RHCP) (p. 3);0.0004 (p. 3);Rogers RT/duroid 5880 (p. 3);2.2 (p. 3);3.175 mm (p. 3);Not mentioned;Not mentioned;Not mentioned
Antena de Parche Cortocircuitado con Polarización Circular y Sentido de Giro Reconfigurable para Aplicaciones en Satélites de Reducido Tamaño;2017;To design and characterize a circular microstrip patch antenna with reconfigurable circular polarization for small satellites (CubeSat 1U) (p. 1);"Achieve an axial ratio bandwidth of 48.56 MHz (2%) at 2.44 GHz (p. 7); Achieve an axial ratio bandwidth of 48.56MHz (2%) (p. 1); Achieve a maximum gain of 6.04dBi (p. 1); Achieve a maximum gain of 6.04 dB at 2.44 GHz (p. 7); Achieve an impedance bandwidth of 27.44% (p. 1)";"Investigate the impact of different hybrid couplers on antenna performance (p. 8); Explore further optimization techniques to enhance performance (p. 3)";"Integrate the antenna design into CubeSat 1U for improved communication performance (p. 3); Use the hybrid coupler for reconfigurable rotation direction in CubeSat applications (p. 8)";Design of a short-circuited patch antenna with circular polarization and reconfigurable rotation direction for CubeSat 1U applications (p. 6);"How can the bandwidth and gain of the antenna be optimized for CubeSat applications? (p. 6); What is the impact of the hybrid coupler on the antenna's performance? (p. 6); What are the performance metrics of the proposed antenna design? (p. 1); How can a circular microstrip patch antenna be designed to achieve reconfigurable circular polarization? (p. 1)";Anechoic chamber (p. 3);['Gain', 'Bandwidth', 'Return Loss', 'Axial Ratio Bandwidth', 'Radiation Pattern'] (p. 6-7);HFSS and Ansoft Designer (p. 4);HFSS and Ansoft Designer (p. 4);48.56 MHz (2%) at 2.44 GHz (p. 7);730 MHz (27.44%) for S11 < -10 dB (p. 6);Not mentioned;Not mentioned;6.04 dB at 2.44 GHz (p. 7);Unidirectional with a HPBW of 79° (p. 7);-10dB (p. 1);27.44% (2.295GHz to 3.025GHz) (p. 1);Not mentioned;76mm x 76mm x 2.03mm (p. 1);Not mentioned;Short-circuited patch antenna with circular polarization and reconfigurable rotation direction (p. 6);Not mentioned;Not mentioned;90° hybrid coupler feeding the antenna at two points (p. 6);Not mentioned;2.295 GHz to 3.025 GHz (p. 7);Reconfigurable circular polarization (RHCP and LHCP) (p. 1);0.0014 (p. 4);Not mentioned;3 (p. 4);1.524mm (p. 4);Not mentioned;Not mentioned;Not mentioned
